A01,2525051,2525273,A08,11129593,11135485,b
A01,4765403,4765525,C08,26451072,26455385,b
A01,6481184,6481385,C04,2420408,2425221,b
A01,9004344,9004491,A07,12862183,12867484,b
A01,14983652,14983831,C02,22955959,22966774,b
A01,19356261,19356359,C04,15772025,15777274,b
A01,24069909,24070101,C05,40274694,40281907,b
A01,24867750,24867988,A06,14087655,14092653,b
A01,30224262,30224383,C05,28124633,28130811,b
A02,12536892,12536977,C05,26690524,26695750,b
A02,16433120,16433233,C04,44809080,44814060,b
A02,17149099,17149322,C09,30846759,30852001,b
A03,8874894,8875103,C02,52837465,52842138,b
A03,23241783,23241895,A10,1922433,1928148,b
A03,24123654,24123877,C06,35055526,35060119,b
A04,13618708,13618763,C04,10471967,10477320,b
A05,5772305,5772531,C05,15389984,15394811,b
A05,41018700,41018899,C01,12975049,12979595,b
A06,175038,175161,C06,20939573,20942725,b
A06,359351,359569,C01,3195062,3199713,b
A06,34190405,34190631,A01,19156032,19161169,b
A06,40428282,40428334,C06,16659255,16663683,b
A07,12225522,12225642,C02,14588117,14593574,b
A07,12540585,12540694,C09,2179087,2184156,b
A08,2698276,2698378,A02,15547814,15553804,b
A08,3934978,3935076,A09,34884132,34889488,b
A08,5537133,5537344,A04,13779167,13784833,b
A08,11264340,11264553,C03,63416178,63420637,b
A08,11847298,11847472,C07,29697317,29702040,b
A08,13350148,13350359,C02,14588117,14593574,b
A08,13760090,13760218,C01,19866604,19871295,b
A08,18873734,18873832,C03,39542853,39546242,b
A08,22765973,22766214,A03,9108013,9113928,b
A09,6883793,6883891,A07,3282236,3288556,b
A09,11699063,11699175,A02,3710335,3714992,b
A09,12616063,12616277,C05,22580751,22585645,b
A09,13615360,13615470,C06,16577317,16582015,b
A09,19000267,19000480,C06,25588173,25594708,b
A09,28186476,28186587,C07,11806557,11809487,b
A09,28341443,28341626,A05,22734762,22741690,b
A09,47499210,47499320,C04,44809080,44814060,b
A09,49116696,49116819,C08,17402878,17407578,b
A10,5036512,5036750,A07,25627257,25633206,b
A10,6355496,6355675,C07,4074205,4078696,b
A10,8891173,8891411,A09,6642732,6654278,b
A10,9744944,9745157,A09,21136373,21143431,b
A10,12658003,12658246,C07,27395213,27400126,b
A10,17325331,17325437,C01,13419297,13422231,b
BNapus_Darmor_BZH_scaffold_258,4399,4513,BNapus_Darmor_BZH_scaffold_94,187263,192992,b
BNapus_Darmor_BZH_scaffold_69,1002775,1002898,BNapus_Darmor_BZH_scaffold_75,111140,117134,b
C01,545046,545279,C06,47207218,47212877,b
C01,7357401,7357504,C06,30290573,30292354,b
C01,24002205,24002372,C05,20085465,20091678,b
C01,24903164,24903348,C02,54916270,54920884,b
C01,25122105,25122205,C05,25784286,25792607,b
C01,25981202,25981440,C04,47114761,47119854,b
C01,35958798,35958992,C05,46701892,46706752,b
C01,37928681,37928848,C02,53917301,53923800,b
C01,39348812,39348905,C09,37997743,37999105,b
C01,39538759,39538798,C09,54881254,54886536,b
C01,40715636,40715814,C01,13080526,13085200,b
C01,41490031,41490229,C05,18675733,18682228,b
C01,45632434,45632586,C05,11937038,11942402,b
C02,7601100,7601303,C09,3568339,3573013,b
C02,8289047,8289247,C04,7560420,7564549,b
C02,11933346,11933454,C06,37500871,37506901,b
C02,23955484,23955588,C07,33955924,33962177,b
C02,35755597,35755699,C05,23640790,23644541,b
C02,36407200,36407376,C07,1641844,1647194,b
C02,40478610,40478651,A03,33488594,33490706,b
C02,43838758,43838802,C06,30290573,30292354,b
C02,45337292,45337483,C09,13846702,13852294,b
C03,447985,448044,C05,42780066,42783935,b
C03,11239630,11239657,C02,43837311,43841713,b
C03,15955029,15955270,C03,25942263,25948413,b
C03,19846616,19846845,C01,25769201,25778406,b
C03,21985451,21985685,C05,35553530,35564686,b
C03,25641354,25641593,A10,18766279,18771703,b
C03,31617352,31617534,C03,56099465,56105681,b
C03,45160401,45160474,C07,55198714,55204016,b
C03,45810949,45811049,C05,33823062,33826826,b
C03,69136822,69136935,C01,20583343,20588739,b
C03,70191427,70191596,C05,37017777,37023019,b
C04,2890498,2890664,C03,34901323,34906243,b
C04,3003507,3003569,A03,26174089,26178999,b
C04,5969327,5969431,C07,4037978,4044230,b
C04,6405158,6405296,C05,14534853,14540667,b
C04,7109212,7109436,C08,15169310,15174779,b
C04,9815991,9816196,C01,40685401,40689939,b
C04,17385981,17386196,C01,13080526,13085200,b
C04,17451816,17452001,C01,37777373,37782785,b
C04,18116867,18116971,C05,49631354,49638948,b
C04,21001976,21002171,C08,25670768,25675823,b
C04,21036912,21037009,A08,4840939,4841993,b
C04,48511230,48511367,C06,40339280,40343067,b
C04,53929626,53929749,C05,18520530,18526932,b
C05,4486860,4487091,C02,33898608,33903844,b
C05,17527149,17527269,C07,33694175,33699691,b
C05,18422899,18423014,C07,45503545,45508312,b
C05,32393496,32393570,C01,21317143,21334705,b
C05,50821104,50821148,C01,11357698,11358927,b
C05,54863507,54863615,C08,8005781,8010724,b
C05,56334427,56334590,C08,16759593,16771767,b
C06,2828325,2828451,BNapus_Darmor_BZH_scaffold_156,971,7367,b
C06,2834976,2835080,A01,31331192,31338014,b
C06,3024214,3024271,C01,45577883,45580558,b
C06,4188348,4188456,C09,36784239,36791317,b
C06,6824504,6824720,C02,12433813,12438305,b
C06,9258013,9258232,C03,56140270,56145129,b
C06,13150539,13150642,C06,43793871,43798325,b
C06,20153527,20153706,C05,23058551,23063238,b
C06,21678069,21678252,C05,50819630,50825175,b
C06,35735018,35735050,C01,18772167,18775958,b
C06,45669800,45669968,C01,43503604,43509432,b
C07,10038964,10039106,C04,9129650,9135783,b
C07,15809903,15810111,C01,13080526,13085200,b
C07,16287756,16287904,C01,13080526,13085200,b
C07,16781813,16781928,C04,39771265,39777751,b
C07,40066796,40067014,C01,26639545,26644387,b
C07,40794015,40794198,A09,32658094,32662994,b
C07,42322493,42322574,C02,47877511,47884006,b
C07,52094014,52094173,A03,24713565,24718218,b
C07,52703811,52703981,C02,61761823,61767847,b
C08,2464778,2464837,A02,13667420,13672688,b
C08,3567749,3567892,A02,23425308,23430088,b
C08,3818681,3818775,C08,7826617,7835681,b
C08,26920201,26920393,C08,21173545,21185409,b
C08,26933094,26933296,C05,53554177,53559580,b
C08,29918544,29918720,C09,38831989,38837210,b
C08,37128046,37128246,C04,14255075,14259227,b
C08,37409489,37409679,C07,15949191,15956355,b
C09,37117348,37117473,A01,13270263,13274919,b
C09,45326762,45326792,C03,51170284,51183649,b
C09,46601718,46601802,C09,43143252,43145379,b
C09,54814854,54815036,C05,37312941,37317799,b
C09,55471337,55471538,C09,36291878,36298004,b
C09,55671731,55671843,A04,12752663,12757683,b
